Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC,CV Mean,CV Std
Random Forest,0.9722633702814527,0.9825879765395894,0.9681264108352144,0.9753035884841043,0.9973512645809537,0.9715450213192878,0.0007465701563149035
XGBoost,0.9718547274863361,0.9836397058823529,0.9663205417607224,0.9749032111136415,0.997395062534748,0.9713945322297466,0.0010260455063497383
LightGBM,0.9718036471369464,0.9830166161755256,0.9668623024830699,0.9748725418790969,0.9973187453436796,0.971733132681214,0.0012549532921637104
Gradient Boosting,0.9712928436430505,0.9736012253356158,0.9757110609480812,0.9746550013529359,0.997334872209062,0.9714070729872084,0.0010961511604420469
Neural Network,0.9702712366552587,0.9761321354024867,0.9711963882618511,0.9736580066986512,0.9970815205876401,0.971381991472285,0.00036042407482316137
Decision Tree,0.9674618174388313,0.9745408256046554,0.967765237020316,0.9711412132469532,0.9840564137610962,0.9660772510659644,0.0008867654642419837
Logistic Regression,0.9672064156918834,0.9795017924441585,0.9621670428893905,0.970757037441924,0.9953048997102262,0.9675319789315274,0.0008546137465463172
