Blue_UniqueChamps,Red_UniqueChamps,Blue_AvgChampId,Red_AvgChampId,UniqueChamps_Diff,AvgChampId_Diff,Region_Code,BlueWin
5,4,225.8,434.2,1,-208.39999999999998,0,1
5,5,125.8,58.8,0,67.0,0,1
5,5,104.2,290.4,0,-186.2,0,1
5,5,267.8,246.6,0,21.200000000000017,0,1
5,5,94.2,583.4,0,-489.2,0,1
5,5,77.8,96.6,0,-18.799999999999997,0,1
5,5,159.4,118.4,0,41.0,0,0
5,5,67.6,132.8,0,-65.20000000000002,0,0
5,5,464.4,199.2,0,265.2,0,0
5,5,325.6,270.8,0,54.80000000000001,0,0
5,5,72.6,224.2,0,-151.6,0,0
5,5,140.8,344.4,0,-203.59999999999997,0,1
5,5,236.6,49.4,0,187.2,0,1
5,5,161.8,115.2,0,46.60000000000001,0,0
5,5,60.4,45.6,0,14.799999999999997,0,0
5,5,283.0,86.2,0,196.8,0,1
5,5,229.2,111.4,0,117.79999999999998,0,1
5,5,156.6,411.4,0,-254.79999999999998,0,0
5,5,228.2,81.8,0,146.39999999999998,0,1
5,5,284.6,274.8,0,9.800000000000011,0,1
5,5,233.4,172.6,0,60.80000000000001,0,0
5,5,264.6,172.0,0,92.60000000000002,0,0
5,5,382.0,35.2,0,346.8,0,0
5,5,510.6,220.0,0,290.6,0,1
5,5,292.2,220.6,0,71.6,0,0
5,5,115.4,434.8,0,-319.4,0,0
5,5,328.4,56.4,0,272.0,0,1
5,5,429.2,432.8,0,-3.6000000000000227,0,0
5,5,95.2,82.4,0,12.799999999999997,0,1
5,5,104.8,147.4,0,-42.60000000000001,0,0
5,5,280.2,120.8,0,159.39999999999998,0,0
5,5,395.0,177.6,0,217.4,0,0
5,5,407.4,280.4,0,127.0,0,1
5,5,266.2,89.2,0,177.0,0,1
5,5,500.0,337.2,0,162.8,0,0
5,5,118.4,103.6,0,14.800000000000011,0,0
5,5,180.6,378.0,0,-197.4,0,0
5,5,78.2,133.6,0,-55.39999999999999,0,1
5,5,278.6,264.4,0,14.200000000000045,0,1
5,5,337.8,132.6,0,205.20000000000002,0,0
5,5,72.0,35.6,0,36.4,0,0
5,5,115.8,535.0,0,-419.2,0,1
5,5,189.6,345.4,0,-155.79999999999998,0,0
5,5,82.0,234.0,0,-152.0,0,0
5,5,127.8,255.8,0,-128.0,0,0
5,5,66.8,104.6,0,-37.8,0,1
5,5,107.2,262.4,0,-155.2,0,1
5,5,50.0,106.0,0,-56.0,0,1
5,5,324.8,261.4,0,63.400000000000034,0,0
5,5,221.6,129.0,0,92.6,0,1
5,5,311.6,179.4,0,132.20000000000002,0,0
5,5,143.2,187.8,0,-44.60000000000002,0,1
5,5,279.0,305.2,0,-26.19999999999999,0,0
5,5,173.4,244.4,0,-71.0,0,0
5,5,207.2,43.6,0,163.6,0,0
5,5,178.0,242.4,0,-64.4,0,1
5,5,244.0,104.0,0,140.0,0,0
5,5,260.2,120.0,0,140.2,0,0
5,5,135.0,338.6,0,-203.60000000000002,0,0
5,5,280.4,96.6,0,183.79999999999998,0,0
5,5,164.8,59.0,0,105.80000000000001,0,0
5,5,333.6,349.6,0,-16.0,0,0
5,5,174.4,125.0,0,49.400000000000006,0,1
5,5,73.2,276.6,0,-203.40000000000003,0,1
5,5,97.6,76.2,0,21.39999999999999,0,0
5,5,260.8,169.0,0,91.80000000000001,0,0
5,5,128.0,108.4,0,19.599999999999994,0,1
5,5,288.2,122.8,0,165.39999999999998,0,0
5,5,88.8,34.8,0,54.0,0,1
5,5,54.6,187.6,0,-133.0,0,0
5,5,236.6,186.0,0,50.599999999999994,0,1
5,5,192.2,117.4,0,74.79999999999998,0,1
5,5,250.8,68.8,0,182.0,0,0
5,5,34.4,55.0,0,-20.6,0,0
5,5,356.6,221.4,0,135.20000000000002,0,0
5,5,221.2,343.4,0,-122.19999999999999,0,1
5,5,105.2,158.2,0,-52.999999999999986,0,1
5,5,179.6,103.2,0,76.39999999999999,0,0
5,5,433.0,98.6,0,334.4,0,1
5,5,109.4,462.0,0,-352.6,0,1
5,5,147.2,191.0,0,-43.80000000000001,0,0
5,5,284.6,71.2,0,213.40000000000003,0,0
5,5,139.8,315.2,0,-175.39999999999998,0,0
5,5,359.0,239.4,0,119.6,0,0
5,5,204.8,297.4,0,-92.59999999999997,0,0
5,5,329.2,158.6,0,170.6,0,1
5,5,167.2,158.2,0,9.0,0,1
5,5,257.4,271.8,0,-14.400000000000034,0,1
5,5,72.4,147.0,0,-74.6,0,1
5,5,222.8,150.8,0,72.0,0,0
5,5,337.8,226.2,0,111.60000000000002,0,1
5,5,85.4,186.6,0,-101.19999999999999,0,1
5,5,65.2,106.6,0,-41.39999999999999,0,1
5,5,88.0,234.4,0,-146.4,0,0
5,5,414.2,159.0,0,255.2,0,0
5,5,129.2,138.0,0,-8.800000000000011,0,0
5,5,110.2,150.2,0,-39.999999999999986,0,1
5,5,209.8,255.0,0,-45.19999999999999,0,1
5,5,244.0,286.0,0,-42.0,0,0
5,5,212.8,274.8,0,-62.0,0,1
5,5,98.4,323.2,0,-224.79999999999998,0,1
5,5,264.0,235.0,0,29.0,0,0
5,5,125.4,257.4,0,-131.99999999999997,0,0
5,5,413.2,79.6,0,333.6,0,0
5,5,241.6,217.8,0,23.799999999999983,0,1
5,5,131.6,257.6,0,-126.00000000000003,0,1
5,5,389.6,99.4,0,290.20000000000005,0,1
5,5,132.2,93.2,0,38.999999999999986,0,0
5,5,403.8,341.4,0,62.400000000000034,0,1
5,5,254.2,407.0,0,-152.8,0,1
5,5,119.8,260.4,0,-140.59999999999997,0,0
5,5,143.8,150.6,0,-6.799999999999983,0,1
5,5,96.8,227.4,0,-130.60000000000002,0,1
5,5,96.6,145.4,0,-48.80000000000001,0,0
5,5,342.8,109.8,0,233.0,0,1
5,5,421.4,300.6,0,120.79999999999995,0,1
5,5,90.8,115.2,0,-24.400000000000006,0,1
5,5,332.6,250.4,0,82.20000000000002,0,1
5,5,319.0,220.0,0,99.0,0,0
5,5,351.6,294.4,0,57.200000000000045,0,0
5,5,149.0,174.8,0,-25.80000000000001,0,1
5,5,239.0,562.6,0,-323.6,0,1
5,5,80.8,362.8,0,-282.0,0,1
5,5,418.0,77.4,0,340.6,0,1
5,5,469.8,280.2,0,189.60000000000002,0,0
5,5,160.0,281.6,0,-121.60000000000002,0,1
5,5,450.2,197.8,0,252.39999999999998,0,1
5,5,183.4,121.6,0,61.80000000000001,0,1
5,5,108.4,147.4,0,-39.0,0,1
5,5,184.6,380.2,0,-195.6,0,1
5,5,207.0,112.0,0,95.0,0,0
5,5,289.2,538.2,0,-249.00000000000006,0,1
5,5,181.4,256.4,0,-74.99999999999997,0,1
5,5,54.8,165.0,0,-110.2,0,1
5,5,208.8,288.4,0,-79.59999999999997,0,1
5,5,160.6,196.6,0,-36.0,0,0
5,5,242.2,101.8,0,140.39999999999998,0,1
5,5,238.0,150.6,0,87.4,0,1
5,5,195.6,146.8,0,48.79999999999998,0,0
5,5,116.6,356.2,0,-239.6,0,1
5,5,89.8,322.4,0,-232.59999999999997,0,0
